@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2019/03/14 02:16:27:213',1,-12898795,-11056854,-10136016,-9216467,-8097990,-9347021,-10727635,-12108251,-14147309,-16711680,-13621228,-11647704,-13357539,-16251132,-16514302,-16711680,-16645888,-16645888,-16777216,-16514559,-13949421,-12107737,-11712722,-16711680,-16711424,-16711423,-16711424,-16645888,-16777216,-16317181,-14081005,-12831201,-13948903,-16119542,-15067372,-14080729,-14474717,-15790320,-16053492,-11711419,-14212334,-16316925,-12504539,-8032159,-8487555,-7105895,-6386552,-8425630,-11647430,-9937072,-14212076,-16711424,-9152448,-5402498,-6055778,-6978172,-6388616,-7116189,-6848144,-8689070,-14014695,-15856375,-14805489,-10334658,-9476251,-7042415,-6387839,-9347247,-13423837,-7632775,-13817573,-13620452,-13159389,-14737899,-15330287,-15461613,-16185338,-15592945,-15133167,-14869480,-13751524,-13488353,-12896475,-12698839,-12567252,-12369873,-12172236,-11777735,-14607856,-13358308,-13225694,-13159388,-12830938,-13027544,-13093591,-12961749,-12764111,-13027284,-14148080,-11715032,1
2,'2019/03/14 02:16:27:247',1,-12898795,-11056854,-10136016,-9216467,-8097990,-9347021,-10727635,-12108251,-14147309,-16711680,-13621228,-11647704,-13357539,-16251132,-16514302,-16711680,-16645888,-16645888,-16777216,-16514559,-13949421,-12107737,-11712722,-16711680,-16711424,-16711423,-16711424,-16645888,-16777216,-16317181,-14081005,-12831201,-13948903,-16119542,-15067372,-14080729,-14474717,-15790320,-16053492,-11711419,-14212334,-16316925,-12504539,-8032159,-8487555,-7105895,-6386552,-8425630,-11647430,-9937072,-14212076,-16711424,-9152448,-5402498,-6055778,-6978172,-6388616,-7116189,-6848144,-8689070,-14014695,-15856375,-14805489,-10334658,-9476251,-7042415,-6387839,-9347247,-13423837,-7632775,-13817573,-13620452,-13159389,-14737899,-15330287,-15461613,-16185338,-15592945,-15133167,-14869480,-13751524,-13488353,-12896475,-12698839,-12567252,-12369873,-12172236,-11777735,-14607856,-13358308,-13225694,-13159388,-12830938,-13027544,-13093591,-12961749,-12764111,-13027284,-14148080,-11715032,1
3,'2019/03/14 02:16:27:279',1,-12898795,-11056854,-10136016,-9216467,-8097990,-9347021,-10727635,-12108251,-14147309,-16711680,-13621228,-11647704,-13357539,-16251132,-16514302,-16711680,-16645888,-16645888,-16777216,-16514559,-13949421,-12107737,-11712722,-16711680,-16711424,-16711423,-16711424,-16645888,-16777216,-16317181,-14081005,-12831201,-13948903,-16119542,-15067372,-14080729,-14474717,-15790320,-16053492,-11711419,-14212334,-16316925,-12504539,-8032159,-8487555,-7105895,-6386552,-8425630,-11647430,-9937072,-14212076,-16711424,-9152448,-5402498,-6055778,-6978172,-6388616,-7116189,-6848144,-8689070,-14014695,-15856375,-14805489,-10334658,-9476251,-7042415,-6387839,-9347247,-13423837,-7632775,-13817573,-13620452,-13159389,-14737899,-15330287,-15461613,-16185338,-15592945,-15133167,-14869480,-13751524,-13488353,-12896475,-12698839,-12567252,-12369873,-12172236,-11777735,-14607856,-13358308,-13225694,-13159388,-12830938,-13027544,-13093591,-12961749,-12764111,-13027284,-14148080,-11715032,1
4,'2019/03/14 02:16:27:313',1,-12964332,-11056597,-10136016,-9216212,-7966918,-9281229,-10661843,-12108250,-14147567,-16711680,-13621228,-11581911,-13423075,-16185596,-16448510,-16646144,-16645888,-16645888,-16777216,-16514560,-14014957,-12041945,-11778515,-16711680,-16711424,-16711424,-16711424,-16645888,-16777216,-16316925,-14146541,-12831201,-13948903,-16119543,-15133164,-14080730,-14540510,-15856113,-15987956,-11711420,-14277869,-16316925,-12438746,-8097695,-8487811,-7040359,-6386552,-8425887,-11713223,-9936816,-14277868,-16711424,-9086398,-5402242,-6055522,-6977916,-6454152,-7181725,-6848144,-8623535,-14080231,-15856376,-14674160,-10268865,-9475995,-6976621,-6322046,-9281710,-13423837,-7632775,-13817573,-13620453,-13159644,-14738155,-15395823,-15461614,-16185338,-15592945,-15133167,-14803687,-13751525,-13422818,-12896475,-12633303,-12566996,-12369873,-12172236,-11777479,-14607856,-13358308,-13290974,-13159388,-12896473,-13027544,-13093336,-12961749,-12829646,-13027284,-14148081,-11715031,1
5,'2019/03/14 02:16:27:347',1,-12964332,-11056597,-10136016,-9216212,-7966918,-9281229,-10661843,-12108250,-14147567,-16711680,-13621228,-11581911,-13423075,-16185596,-16448510,-16646144,-16645888,-16645888,-16777216,-16514560,-14014957,-12041945,-11778515,-16711680,-16711424,-16711424,-16711424,-16645888,-16777216,-16316925,-14146541,-12831201,-13948903,-16119543,-15133164,-14080730,-14540510,-15856113,-15987956,-11711420,-14277869,-16316925,-12438746,-8097695,-8487811,-7040359,-6386552,-8425887,-11713223,-9936816,-14277868,-16711424,-9086398,-5402242,-6055522,-6977916,-6454152,-7181725,-6848144,-8623535,-14080231,-15856376,-14674160,-10268865,-9475995,-6976621,-6322046,-9281710,-13423837,-7632775,-13817573,-13620453,-13159644,-14738155,-15395823,-15461614,-16185338,-15592945,-15133167,-14803687,-13751525,-13422818,-12896475,-12633303,-12566996,-12369873,-12172236,-11777479,-14607856,-13358308,-13290974,-13159388,-12896473,-13027544,-13093336,-12961749,-12829646,-13027284,-14148081,-11715031,1
6,'2019/03/14 02:16:27:380',1,-12898795,-11056597,-10136016,-9150676,-7966917,-9215693,-10596051,-12108250,-14213102,-16711680,-13621227,-11516118,-13488867,-16119803,-16448510,-16646144,-16645888,-16580352,-16777216,-16514560,-13949676,-11976409,-11909844,-16711680,-16711424,-16645888,-16711424,-16711424,-16777216,-16251389,-14146540,-12765408,-13948902,-16119543,-15133164,-14146522,-14606303,-15856113,-15987956,-11711420,-14277869,-16316925,-12438746,-8163488,-8553348,-6974566,-6386552,-8491423,-11779014,-9871023,-14277869,-16711680,-8955069,-5402241,-5989985,-6978172,-6454151,-7181725,-6848144,-8623535,-14014695,-15922168,-14608111,-10137536,-9410201,-6845035,-6256253,-9281454,-13358044,-7632775,-13883109,-13685989,-13225436,-14869483,-15461616,-15527150,-16185338,-15658737,-15198959,-14738150,-13751524,-13422817,-12896219,-12633302,-12566996,-12369874,-12172236,-11777480,-14607856,-13424100,-13290975,-13159388,-12896472,-12962264,-13159128,-12961749,-12829647,-13027284,-14148080,-11715032,1
7,'2019/03/14 02:16:27:414',1,-12898795,-11056597,-10136016,-9150676,-7966917,-9215693,-10596051,-12108250,-14213102,-16711680,-13621227,-11516118,-13488867,-16119803,-16448510,-16646144,-16645888,-16580352,-16777216,-16514560,-13949676,-11976409,-11909844,-16711680,-16711424,-16645888,-16711424,-16711424,-16777216,-16251389,-14146540,-12765408,-13948902,-16119543,-15133164,-14146522,-14606303,-15856113,-15987956,-11711420,-14277869,-16316925,-12438746,-8163488,-8553348,-6974566,-6386552,-8491423,-11779014,-9871023,-14277869,-16711680,-8955069,-5402241,-5989985,-6978172,-6454151,-7181725,-6848144,-8623535,-14014695,-15922168,-14608111,-10137536,-9410201,-6845035,-6256253,-9281454,-13358044,-7632775,-13883109,-13685989,-13225436,-14869483,-15461616,-15527150,-16185338,-15658737,-15198959,-14738150,-13751524,-13422817,-12896219,-12633302,-12566996,-12369874,-12172236,-11777480,-14607856,-13424100,-13290975,-13159388,-12896472,-12962264,-13159128,-12961749,-12829647,-13027284,-14148080,-11715032,1
8,'2019/03/14 02:16:27:447',1,-12898795,-11056597,-10136016,-9150676,-7966917,-9215693,-10596051,-12108250,-14213102,-16711680,-13621227,-11516118,-13488867,-16119803,-16448510,-16646144,-16645888,-16580352,-16777216,-16514560,-13949676,-11976409,-11909844,-16711680,-16711424,-16645888,-16711424,-16711424,-16777216,-16251389,-14146540,-12765408,-13948902,-16119543,-15133164,-14146522,-14606303,-15856113,-15987956,-11711420,-14277869,-16316925,-12438746,-8163488,-8553348,-6974566,-6386552,-8491423,-11779014,-9871023,-14277869,-16711680,-8955069,-5402241,-5989985,-6978172,-6454151,-7181725,-6848144,-8623535,-14014695,-15922168,-14608111,-10137536,-9410201,-6845035,-6256253,-9281454,-13358044,-7632775,-13883109,-13685989,-13225436,-14869483,-15461616,-15527150,-16185338,-15658737,-15198959,-14738150,-13751524,-13422817,-12896219,-12633302,-12566996,-12369874,-12172236,-11777480,-14607856,-13424100,-13290975,-13159388,-12896472,-12962264,-13159128,-12961749,-12829647,-13027284,-14148080,-11715032,1
9,'2019/03/14 02:16:27:480',1,-12898795,-11056342,-10136016,-9216212,-7901126,-9149900,-10530515,-12042457,-14213102,-16646144,-13621227,-11516118,-13423331,-16119803,-16382717,-16645888,-16645888,-16580352,-16777216,-16514560,-14014956,-11976409,-11844308,-16711680,-16711424,-16645888,-16711424,-16645888,-16777216,-16316925,-14146541,-12765408,-13948902,-16119543,-15133164,-14212058,-14606304,-15856114,-16053492,-11777212,-14277869,-16316925,-12438490,-8163488,-8619140,-6974566,-6386552,-8491423,-11779015,-9936816,-14277868,-16711680,-8955069,-5402241,-5989986,-6978172,-6454151,-7181981,-6848144,-8623791,-14014696,-15922168,-14608111,-10071744,-9410202,-6779498,-6256253,-9281453,-13358044,-7633032,-13883109,-13685989,-13290973,-14803948,-15461616,-15527406,-16185338,-15658737,-15198960,-14737894,-13751524,-13422817,-12830682,-12633303,-12501460,-12304082,-12172236,-11777735,-14607856,-13424100,-13290974,-13159387,-12830937,-13027800,-13093591,-12961749,-12829647,-13027283,-14213616,-11715032,1
10,'2019/03/14 02:16:27:513',1,-12898795,-11056342,-10136016,-9216212,-7901126,-9149900,-10530515,-12042457,-14213102,-16646144,-13621227,-11516118,-13423331,-16119803,-16382717,-16645888,-16645888,-16580352,-16777216,-16514560,-14014956,-11976409,-11844308,-16711680,-16711424,-16645888,-16711424,-16645888,-16777216,-16316925,-14146541,-12765408,-13948902,-16119543,-15133164,-14212058,-14606304,-15856114,-16053492,-11777212,-14277869,-16316925,-12438490,-8163488,-8619140,-6974566,-6386552,-8491423,-11779015,-9936816,-14277868,-16711680,-8955069,-5402241,-5989986,-6978172,-6454151,-7181981,-6848144,-8623791,-14014696,-15922168,-14608111,-10071744,-9410202,-6779498,-6256253,-9281453,-13358044,-7633032,-13883109,-13685989,-13290973,-14803948,-15461616,-15527406,-16185338,-15658737,-15198960,-14737894,-13751524,-13422817,-12830682,-12633303,-12501460,-12304082,-12172236,-11777735,-14607856,-13424100,-13290974,-13159387,-12830937,-13027800,-13093591,-12961749,-12829647,-13027283,-14213616,-11715032,1
